step,added_feature,pr_auc_val,delta_pr_auc,selected_features
0,,0.001005,,[]
1,sum_amount_last_1h,0.004607263020855347,0.0036022630208553475,"[""sum_amount_last_1h""]"
2,transactions_in_session,0.006365810355413102,0.0017585473345577548,"[""sum_amount_last_1h"", ""transactions_in_session""]"
3,max_amount_last_24h,0.008934152787680723,0.0025683424322676214,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h""]"
4,amount_zscore,0.00987655613519701,0.0009424033475162862,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore""]"
5,delta_3,0.012182375314720995,0.002305819179523985,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3""]"
6,operation_amt,0.014651982336033424,0.0024696070213124297,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt""]"
7,is_weekend,0.02021077600300042,0.005558793666966995,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend""]"
8,is_new_mcc,0.016935734989729244,-0.003275041013271175,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc""]"
9,std_time_deltas,0.01602205279393714,-0.0009136821957921037,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas""]"
10,transactions_last_10m,0.016373593926798775,0.00035154113286163524,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m""]"
11,event_descr,0.012293666975747495,-0.0040799269510512805,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr""]"
12,amount_ratio_prev,0.012484948671870492,0.00019128169612299753,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev""]"
13,sum_amount_last_24h,0.012043129004979121,-0.00044181966689137153,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h""]"
14,amount_zscore_x_is_new_mcc,0.01478321682900072,0.0027400878240215996,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc""]"
15,acceleration_delta_1_over_2,0.017107187141328882,0.0023239703123281615,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2""]"
16,amount_zscore_x_is_new_device,0.019099468233237004,0.001992281091908122,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device""]"
17,trend_mean_last_3_to_10,0.017707598593405507,-0.0013918696398314973,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10""]"
18,is_compromised_device,0.016003767286976743,-0.0017038313064287637,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device""]"
19,is_new_device_x_is_new_timezone,0.01766304875244276,0.0016592814654660185,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone""]"
20,session_mean_amount,0.018338697595585613,0.0006756488431428516,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount""]"
21,cv_delta_last_k,0.01852663313716747,0.00018793554158185594,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k""]"
22,timezone_missing,0.017695279491520232,-0.000831353645647237,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing""]"
23,amount_percentile_rank,0.015613843550836531,-0.0020814359406837006,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank""]"
24,time_since_last_device_change,0.016563185793399136,0.0009493422425626043,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change""]"
25,transactions_last_1h,0.01898877732893623,0.002425591535537095,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h""]"
26,delta_1,0.01335403703748298,-0.005634740291453251,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1""]"
27,time_since_prev_transaction,0.01277406449281775,-0.0005799725446652294,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction""]"
28,is_new_channel,0.015553930333124978,0.0027798658403072277,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel""]"
29,session_duration,0.0169195818666431,0.0013656515335181228,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration""]"
30,is_mcc_switch,0.013607412257225475,-0.003312169609417626,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch""]"
31,std_delta_last_k,0.017384315351145332,0.003776903093919858,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k""]"
32,log_1_plus_transactions_seen,0.013359455157069967,-0.004024860194075365,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen""]"
33,web_rdp_connection,0.013493521138217114,0.0001340659811471471,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection""]"
34,is_new_browser_language,0.015328635425235562,0.0018351142870184477,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language""]"
35,is_new_device,0.013820226206932998,-0.001508409218302564,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device""]"
